SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,DoH
192.168.68.63,1.1.1.1,35324,443,2024-07-20 10:17:25,2.865187,31540,11008.00750526928957865577360,56857,19844.07998500621425407835510,33885.587443749995,184.08038310409395,220.9925,122.0,66,1.6133033568930857,0.8419827109570643,0.8329711782259305,0.45252145771175444375,0.6726971515561474738880676390,1.5231478325,1.3922195,0.0,0.5838957346428063914371859162,2.2642400506327527,0.4416492852515991574889154031,0.0004436561497678324099722991692,0.02106314672046492700811616936,0.009849407894736842105263157895,0.0012485,2e-06,1.225017516454017397974741312,0.4675183639664397,2.138519081103371766425752111,True
1.1.1.1,192.168.68.63,443,35324,2024-07-20 10:17:28,2.477097,55917,22573.60127600978080390069505,31059,12538.46740761463923294081742,32878.0964,181.3231821913569,217.44,122.0,66,1.5790589848452812,0.8351938134428939,0.8338998445150704,0.35335779697527359375,0.5944390607751761746183888878,1.3749963375,1.4468815,0.0,-0.3627882178852365742303336169,2.3130988998383466,0.4323204684719214203858844008,0.0001419933010980886368409997900,0.01191609420481764388946296251,0.003152724637681159420289855072,0.000015,8e-06,0.7899546404423152440662758054,0.26390565428811025,3.779617814507890246177423776,True
192.168.68.63,1.1.1.1,35324,443,2024-07-20 10:17:30,4.456394,21394,4800.742483721143148473855768,42085,9443.734104300472534520062634,38650.393988888885,196.59703453737262,211.59666666666666,121.0,66,1.3824725313866997,0.7405842463966011,0.9291121530145684,1.797640585406743766666666667,1.340761196263802887757901185,1.37868127,1.289164,0.002732,0.2002980178337148150007187714,1.0262448479522328,0.9724954022649505405683078475,0.001105413721703274671419024281,0.03324776265710633755785254692,0.01449740298507462686567164179,0.001042,2e-06,1.214103017142299490254406875,0.43598130600756074,2.293359899792782872461069346,True
1.1.1.1,192.168.68.63,443,35324,2024-07-20 10:17:34,2.605011,13240,5082.512127587944926144265802,7019,2694.422403590618235393247860,34206.88354570638,184.95103012880568,213.25263157894736,122.0,66,1.4801642064182532,0.7961709187366841,0.8672860389079688,0.2637701953540050969529085874,0.5135856261170138092408532047,1.750905926315789473684210526,1.846614,0.0,-0.5590581325716737587747032608,3.4091801586301953,0.2933256541073496002961249267,0.009702630803850415512465373968,0.09850193299550225330321763453,0.02324978947368421052631578947,0.000013,3e-06,0.7077055881150648287296689145,0.23600338355538358,4.236680642076086286601655830,True
1.1.1.1,192.168.68.63,443,35324,2024-07-20 10:17:37,3.290144,11880,3610.784208837060019257515780,7632,2319.655309919565830553313168,30324.8456,174.1403043525536,195.12,122.0,66,1.2596739210694006,0.7414710826426012,0.8924779845866831,1.1282443385350044,1.062188466579732920797837839,2.03287134,2.156292,0.0,-0.3485840711415843394156080165,1.9138518294647693,0.5225064890627721284111555427,0.00006300295589536266349583828766,0.007937440134915202212156973767,0.001508034482758620689655172414,0.000004,2e-06,0.5684582650807061579590037098,0.18973805876454777,5.263434109540641258375877237,True
192.168.68.63,1.1.1.1,35192,443,2024-07-20 10:18:02,2.175404,8914,4097.629681659130901662403857,15407,7082.362632412186426061549947,130673.08215326951,361.4873194916656,248.1734693877551,122.0,66,1.047119463818405,0.503955352137754,1.456591312453568,0.3297898295511725322782174096,0.5742733056230043262154445949,0.4341169693877551020408163265,0.285687,0.0,0.7753971912035672657069133530,0.7559414047929677,1.322853853036233180385752103,0.0002408340363545706371191135734,0.01551882844658612227933542923,0.01416247368421052631578947368,0.011505,2e-06,0.5137257029466921956464361174,0.9124705342899508,1.095771034963176680060252467,True
192.168.68.63,1.1.1.1,35170,443,2024-07-20 10:18:02,2.326370,3419,1469.671634348792324522754334,6371,2738.601340285509183835761293,620645.4792899409,787.8105605346636,376.53846153846155,108.5,66,1.0206963766386368,0.39417910484432744,2.092244593861211,0.5091653874379955621301775146,0.7135582579145136360560973258,0.3455536538461538461538461538,0.1037185,0.0,1.016743136935820049472539701,0.4842683130822265,2.064970953055531790115921047,0.0001142333436734693877551020408,0.01068799998472442868271701730,0.01646142857142857142857142857,0.021313,0.00166,-1.361780904427045942961749256,1.3848642021503708,0.6492753613908791181030905242,True
192.168.68.63,1.1.1.1,35194,443,2024-07-20 10:18:04,2.443649,7266,2973.422124044819857516361802,10349,4235.059945188527484921115921,76162.51140646699,275.97556306033147,248.09859154929578,122.0,66,1.3707582311017426,0.6598359272465255,1.112362473873604,0.7191927015688042055147788132,0.8480522988405869568247973672,0.8229618873239436619718309859,0.661142,0.0,0.5724407122479665630766974644,0.9704140752275,1.030487938631314672737409349,0.001024672507005917159763313609,0.03201050619727712396744134517,0.02910838461538461538461538462,0.019205,0.000444,0.9281375828002697980755434752,0.8954680203658529,1.099700537155835647610753146,True
1.1.1.1,192.168.68.63,443,35194,2024-07-20 10:18:06,3.418023,22598,6611.424206332139953417516500,13499,3949.359030059189186263521340,30609.62890612532,174.95607707686327,203.93785310734464,122.0,66,1.4050015491261896,0.7884141860745114,0.8578891775661356,1.514241931676183727536787002,1.230545379771174358268861985,1.730239401129943502824858757,1.461824,0.0,0.6543815584757790797847850484,1.4060752488881716,0.7111994900633745337549238765,0.003655190068609375,0.06045816792303067299422406167,0.017680625,0.000010,9e-06,0.8768356174386469561721861711,0.2922950795084918,3.419458753467746360449591667,True
1.1.1.1,192.168.68.63,443,35194,2024-07-20 10:18:10,2.464350,11594,4704.688863189076226996976890,6876,2790.188082050033477387546412,28351.069999999996,168.3777598140562,184.7,122.0,66,1.1171309097337057,0.7049624613790051,0.9116283693235311,0.4942942895391964,0.7030606585062176553646269348,1.91479294,2.320350,0.0,-1.730535146974434395634354709,2.7235102929359347,0.3671732038589079273316241362,0.0220180701183275,0.1483848715952118213106876906,0.04107085,0.0000115,4e-06,0.8301253940228148482026049480,0.27675900891048233,3.612899942299996744910019895,True
192.168.68.63,1.1.1.1,35194,443,2024-07-20 10:18:12,2.298082,8798,3828.409952299352242435213365,10512,4574.249308771401542677763457,25422.069999999996,159.44299921915666,193.1,122.0,66,1.337782160675591,0.7971500826154132,0.8257017049153633,0.7539281081759396,0.8682903363368381977975509960,1.37231302,1.5971895,0.0,-0.7769629716785068455079316909,1.5804771314046215,0.6327203223189110293492303935,0.000306027449875,0.01749364026939504664055933601,0.016197,0.0154405,1.5e-05,0.1297328609169166555659108195,0.9250218794261049,1.080054347681363625397254801,True
1.1.1.1,192.168.68.63,443,54380,2024-07-20 10:17:35,0.026387,237,8981.695531890703755637245613,132,5002.463334217607155038465911,243.35999999999999,15.6,73.8,66.0,66,1.4999999999999996,0.49999999999999983,0.21138211382113822,0.00010138910584,0.01006921575099073939790288213,0.0063854,0.002689,0.0,1.101297288113913080853585330,0.6341506784549454,1.576912292259018917828621876,5.041E-9,0.000071,0.000081,0.000081,1e-05,0,1.0,0.8765432098765432098765432099,True
192.168.68.63,1.1.1.1,35194,443,2024-07-20 10:18:15,3.986045,6376,1599.580536597052968544007908,14937,3747.323474772612953441318400,36238.7731,190.36484207962351,213.13,121.0,66,1.4518962481758837,0.7728843120015839,0.8931865156459603,1.9423107410961611,1.393668088569212056061657356,1.15674617,0.499544,0.0,1.414688709722929474762715639,0.8300011885811029,1.204817551779066669450617119,0.001628552084422496570644718793,0.04035532287595400432375810435,0.01676785185185185185185185185,0.000012,1e-06,1.245623922030563730142423496,0.4154805526743164,2.406707980992636077726930762,True
192.168.68.63,1.1.1.1,35324,443,2024-07-20 10:17:40,0.376422,3041,8078.698907077694714974151351,6414,17039.38664583897859317468161,34068.3537326389,184.5761461636874,196.97916666666666,121.0,66,1.234923931058017,0.709621310169249,0.9370338462038071,0.01126307049105859375,0.1061276141777369541088974974,0.1648250625,0.1733545,0.0,-0.2411089017524321068217108814,1.5530836510086776,0.6438803211601206224866288002,0.0002424453291404958677685950413,0.01557065602794229950837726232,0.01246936363636363636363636364,0.000524,1e-06,2.301514518385179217581569203,0.8007603285300601,1.248712964191256348958173017,True
1.1.1.1,192.168.68.63,443,35194,2024-07-20 10:18:19,12.036075,10432,866.7277330857443144879040717,6256,519.7707724486595505594639448,24842.165600000004,157.61397653761549,166.88,101.0,66,1.2539497089132325,0.6400447613598811,0.9444749313136115,19.9799225505205939,4.469890664269160163503224428,6.33726081,4.2252025,0.0,1.417523471133042271375828917,1.417766403249633,0.7053348123554915145591466399,2.2944564246333275,1.514746323525271838116252518,0.49011565,0.0000175,2e-06,0.9706539155534512781930026828,0.3235615379209884,3.090589585387187367137230811,True
192.168.68.63,1.1.1.1,35180,443,2024-07-20 10:18:02,0.117773,2409,20454.60334711691134640367487,4993,42395.11602829171372046224517,542743.061728395,736.7109757078383,411.22222222222223,66.0,66,1.4057977969876032,0.46859926566253435,1.791515477268453,0.001262502567916666666666666667,0.03553171214445859864278957267,0.0621515,0.058259,0.0,0.3286500789076436890279752752,1.7491839331388068,0.5716951665600765652122567061,0.00008424499984,0.009178507495230365611034832613,0.0144534,0.018246,0.00027,-1.239613303787407946527596771,1.5452839154263849,0.6350414086118398170004865715,True
192.168.68.63,1.1.1.1,35184,443,2024-07-20 10:18:02,0.081543,2397,29395.53364482542952797910305,4285,52548.96189740382374943281459,1168645.076923077,1081.0388877940873,514.0,66.0,66,1.2432485224860854,0.41441617416202847,2.1031884976538664,0.0005318468799053254437869822484,0.02306180565145161056122409641,0.04432230769230769230769230769,0.046550,0.0,-0.2897898379720436629205327929,1.9218923427844368,0.5203205079381296747529690785,7.35490888888888888888888889E-7,0.0008576076544019933646297017679,0.02345233333333333333333333333,0.023990,0.022242,-1.880813436914504821168474425,1.4112902644010232,0.03656811636661568989424087588,True
1.1.1.1,192.168.68.63,443,35192,2024-07-20 10:18:04,0.121675,2922,24014.79350729402095746866653,1676,13774.39901376618039860283542,30455.284023668642,174.51442354048746,176.84615384615384,101.0,66,1.3038375678195588,0.6351690112332604,0.9868149221515168,0.0005138102980946745562130177515,0.02266738401524698562437878100,0.07306053846153846153846153846,0.0732145,0.0,-0.02037661756971750200448528924,3.2231570441650894,0.3102548173413731848476807463,0.0002186998182040816326530612246,0.01478850290611195142057636120,0.006041714285714285714285714286,0.000004,3e-06,1.224812475754855671815678028,0.4083384453485512,2.447732912673405370851095441,True
192.168.68.63,1.1.1.1,35198,443,2024-07-20 10:18:07,0.135297,2970,21951.70624625823188984234684,5817,42994.30142575223397414576820,432212.9981096408,657.4290821903461,382.04347826086956,97.0,66,1.3007189032976518,0.4807263426922224,1.7208226801386093,0.0007335566772060491493383742913,0.02708425146106218585775244557,0.05276352173913043478260869565,0.050473,0.0,0.2537107302843589976829286062,1.9481255302545906,0.5133139443377220219900822852,0.0003736562179166666666666666667,0.01933018928817477117326602254,0.0207885,0.020404,0.00034,0.05967349738813229115693019528,1.0578530657487848,0.9298501232977257220706651533,True
